code,x0,depth,norm_rank,subtree_size
A10AB04,68.84087,5.0,1.0,0.0
A10AB05,68.51192,5.0,1.0,0.0
A10AB06,69.64937,5.0,1.0,0.0
A10AB30,69.2835,5.0,1.0,0.0
A10AC,67.412766,4.0,0.8,5.0
A10AC01,66.145996,5.0,1.0,0.0
A10AC02,65.381775,5.0,1.0,0.0
A10AC03,67.40622,5.0,1.0,0.0
A10AC04,65.865776,5.0,1.0,0.0
A10AC30,67.58372,5.0,1.0,0.0
A10AD,70.93644,4.0,0.8,7.0
A10AD01,71.373375,5.0,1.0,0.0
A10AD02,69.81722,5.0,1.0,0.0
A10AD03,68.783455,5.0,1.0,0.0
A10AD04,71.727234,5.0,1.0,0.0
A10AD05,69.43255,5.0,1.0,0.0
A10AD06,70.011536,5.0,1.0,0.0
A10AD30,68.86862,5.0,1.0,0.0
A10AE,72.39966,4.0,0.8,10.0
A10AE01,71.774445,5.0,1.0,0.0
A10AE02,70.66604,5.0,1.0,0.0
A10AE03,71.358795,5.0,1.0,0.0
A10AE04,70.25059,5.0,1.0,0.0
A10AE05,72.61384,5.0,1.0,0.0
A10AE06,70.98894,5.0,1.0,0.0
A10AE07,72.531334,5.0,1.0,0.0
A10AE30,70.883675,5.0,1.0,0.0
A10AE54,70.82876,5.0,1.0,0.0
A10AE56,70.92678,5.0,1.0,0.0
A10AF,57.10241,4.0,0.8,1.0
A10AF01,56.541363,5.0,1.0,0.0
A10B,47.22566,3.0,0.6,100.0
A10BA,55.26193,4.0,0.8,3.0
A10BA01,54.76053,5.0,1.0,0.0
A10BA02,55.379757,5.0,1.0,0.0
A10BA03,54.22416,5.0,1.0,0.0
A10BB,68.30396,4.0,0.8,13.0
A10BB01,67.11346,5.0,1.0,0.0
A10BB02,64.27437,5.0,1.0,0.0
A10BB03,67.04417,5.0,1.0,0.0
A10BB04,66.790245,5.0,1.0,0.0
A10BB05,64.234085,5.0,1.0,0.0
A10BB06,65.85273,5.0,1.0,0.0
A10BB07,69.24074,5.0,1.0,0.0
A10BB08,66.724045,5.0,1.0,0.0
A10BB09,63.656704,5.0,1.0,0.0
A10BB10,59.590225,5.0,1.0,0.0
A10BB11,67.642265,5.0,1.0,0.0
A10BB12,65.83691,5.0,1.0,0.0
A10BB31,68.67837,5.0,1.0,0.0
A10BC,54.05364,4.0,0.8,1.0
A10BC01,54.100674,5.0,1.0,0.0
A10BD,63.505074,4.0,0.8,30.0
A10BD01,61.669468,5.0,1.0,0.0
A10BD02,62.232033,5.0,1.0,0.0
A10BD03,57.17475,5.0,1.0,0.0
A10BD04,67.08366,5.0,1.0,0.0
A10BD05,55.661472,5.0,1.0,0.0
A10BD06,55.940544,5.0,1.0,0.0
A10BD07,68.68383,5.0,1.0,0.0
A10BD08,70.85442,5.0,1.0,0.0
A10BD09,64.23013,5.0,1.0,0.0
A10BD10,61.5521,5.0,1.0,0.0
A10BD11,61.578114,5.0,1.0,0.0
A10BD12,55.74515,5.0,1.0,0.0
A10BD13,59.757153,5.0,1.0,0.0
A10BD14,65.63871,5.0,1.0,0.0
A10BD15,53.94886,5.0,1.0,0.0
A10BD16,60.800705,5.0,1.0,0.0
A10BD17,51.613064,5.0,1.0,0.0
A10BD18,62.27429,5.0,1.0,0.0
A10BD19,59.131794,5.0,1.0,0.0
A10BD20,63.933624,5.0,1.0,0.0
A10BD21,63.341835,5.0,1.0,0.0
A10BD22,53.084198,5.0,1.0,0.0
A10BD23,61.050385,5.0,1.0,0.0
A10BD24,59.54747,5.0,1.0,0.0
A10BD25,61.96512,5.0,1.0,0.0
A10BD26,61.668976,5.0,1.0,0.0
